Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-05-16,2024-05-20 23:00 CEST,BIS,https://data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/M.R.B.HU?additional_ts=BIS%2CWS_EER%2C1.0%255EM.N.B.HU&view=chart,https://data.bis.org/export/77869823057c2f08b92fdf83b211d3a3,https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,1994-01-31,1994-02-28,1994-03-31,1994-04-30,1994-05-31,1994-06-30,1994-07-31,1994-08-31,1994-09-30,1994-10-31,1994-11-30,1994-12-31,1995-01-31,1995-02-28,1995-03-31,1995-04-30,1995-05-31,1995-06-30,1995-07-31,1995-08-31,1995-09-30,1995-10-31,1995-11-30,1995-12-31,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
"BIS,WS_EER,1.0",M.N.B.HU,M:Monthly,N:Nominal,B:Broad (64 economies),HU:Hungary,"Index, 2020 = 100",,,240.13,239.51,237.13,238.77,237.13,234.59,233.21,219.3,217.11,217.41,217.0,217.04,215.23,213.42,198.38,189.63,186.56,182.35,179.75,178.62,176.49,172.87,170.93,169.76,167.93,165.66,164.64,163.45,161.98,160.73,158.92,157.03,155.81,154.64,152.66,151.37,153.17,152.59,151.45,149.51,147.57,145.79,143.75,143.16,142.36,140.75,139.26,139.32,139.39,137.72,136.05,135.0,134.35,132.39,131.6,129.65,127.84,126.93,128.25,128.61,130.33,129.91,127.64,127.7,128.48,127.87,127.22,126.42,125.02,124.58,124.61,123.88,123.75,122.41,121.07,119.78,118.56,119.97,119.43,117.75,116.08,115.37,115.16,116.83,118.8,117.98,117.74,117.25,120.29,124.89,124.75,125.33,123.34,123.69,124.76,127.1,128.68,128.38,127.8,129.31,129.74,131.95,131.0,131.49,132.39,132.89,136.31,138.28,137.45,135.55,135.77,135.9,137.9,129.93,127.89,129.31,131.4,132.45,130.75,129.64,130.55,131.14,135.14,135.78,134.97,134.91,136.84,137.31,138.1,139.27,140.76,141.05,139.69,140.56,140.33,138.12,135.37,135.38,136.86,138.16,137.06,133.62,133.59,132.59,133.84,132.73,128.42,126.7,129.13,124.72,122.47,123.78,123.7,126.71,130.99,134.01,133.67,134.19,136.42,138.98,137.49,136.22,138.31,133.71,135.22,136.85,135.76,136.29,135.07,131.6,134.43,138.16,141.19,144.02,150.49,146.3,142.72,130.64,127.82,131.01,124.53,116.98,115.67,118.43,124.35,125.81,129.44,130.4,130.09,132.28,131.04,129.29,129.75,127.34,129.41,128.49,121.6,118.69,118.83,119.53,119.38,124.8,123.46,121.47,122.24,124.86,125.89,129.35,128.06,128.32,127.47,125.66,119.67,115.22,110.43,111.41,109.16,115.55,114.99,113.93,113.91,113.73,115.55,118.5,117.4,118.57,118.19,117.44,114.81,115.87,111.08,112.84,115.34,115.16,115.41,114.26,114.14,116.46,115.36,115.27,114.47,111.65,111.73,113.06,113.65,112.74,111.1,109.42,108.92,110.58,110.98,109.77,106.44,108.82,108.56,109.44,108.0,106.59,106.28,107.54,107.65,108.07,106.39,106.57,107.28,109.35,108.39,108.65,107.83,107.85,107.56,109.11,109.76,110.27,109.6,108.08,109.33,109.11,108.82,107.86,109.39,110.32,111.66,113.23,111.75,111.06,110.39,110.1,111.66,110.94,110.9,111.09,108.93,106.99,107.01,107.85,107.77,107.62,107.7,107.57,108.25,108.68,109.22,107.42,106.51,107.41,106.14,106.07,103.98,104.25,103.29,104.27,102.9,101.79,101.0,98.06,99.63,100.97,100.34,101.7,98.45,97.99,98.29,98.86,98.61,98.59,96.68,98.24,100.3,101.09,98.84,100.21,100.01,97.48,96.36,95.76,97.88,98.46,93.42,93.11,90.8,88.13,85.95,86.24,85.99,83.43,86.29,86.64,89.2,91.88,92.01,94.98,95.61,96.52,95.1,93.71,93.27,93.41,95.09,94.31,94.48,93.0,91.62,92.15
"BIS,WS_EER,1.0",M.R.B.HU,M:Monthly,R:Real,B:Broad (64 economies),HU:Hungary,"Index, 2020 = 100",,,85.3,84.33,83.69,84.46,84.32,83.67,83.92,79.55,79.94,81.01,81.62,82.04,83.53,84.29,80.9,78.76,78.9,77.57,76.89,76.37,76.5,76.3,76.3,76.36,78.55,78.86,79.43,79.77,80.39,80.35,79.65,78.82,78.98,79.26,78.69,78.41,81.79,82.69,83.29,83.15,82.86,83.13,81.75,81.36,81.8,81.61,81.57,82.32,84.64,84.67,84.54,84.47,84.82,83.75,83.08,81.41,79.99,79.91,80.81,81.0,84.0,84.56,83.78,84.38,85.35,85.26,85.31,84.91,84.12,84.12,84.33,84.2,85.13,84.8,84.42,84.05,83.49,84.61,85.01,84.1,83.4,83.28,83.32,84.53,87.32,87.68,87.94,87.62,90.27,93.83,93.99,94.25,92.89,93.31,94.18,95.69,97.9,98.35,98.25,99.79,100.44,101.72,100.99,100.99,101.97,102.61,105.13,106.36,106.85,105.73,106.33,106.31,108.23,102.22,101.0,101.66,103.49,104.88,104.04,103.04,105.93,107.48,110.75,111.06,111.08,111.0,112.73,112.54,113.05,114.07,115.4,115.31,115.24,115.93,116.0,114.55,112.7,112.98,114.1,114.41,113.16,109.98,110.34,109.22,110.36,109.35,106.04,104.73,107.46,104.02,102.4,103.36,105.78,108.84,112.65,114.96,116.32,117.76,120.05,122.16,121.4,120.55,122.5,118.12,119.76,121.54,120.59,121.03,120.93,118.33,120.78,124.02,127.33,129.47,135.24,131.24,127.73,117.04,114.77,117.55,112.66,106.43,105.42,108.49,115.44,116.67,122.06,122.27,121.69,123.51,122.44,120.42,122.73,120.35,122.35,121.64,116.03,113.56,113.94,113.7,113.06,118.26,117.04,115.07,116.69,119.07,120.36,123.83,122.63,122.66,121.82,119.75,113.4,109.57,105.55,106.44,106.58,113.3,112.72,112.14,111.97,111.99,113.96,116.6,115.37,116.39,116.05,114.97,113.68,114.1,109.04,111.02,113.28,113.23,113.44,111.85,111.81,113.69,112.55,111.64,111.73,108.71,108.42,109.58,109.95,109.12,108.01,106.07,105.07,106.36,106.51,104.69,102.17,104.39,104.07,104.97,104.09,102.93,102.9,103.44,102.8,103.32,101.98,101.79,103.11,104.62,103.15,104.02,103.29,103.36,103.08,104.09,104.59,105.44,104.98,103.53,105.38,105.16,104.42,103.44,105.07,105.96,107.46,108.78,107.06,106.52,106.22,105.67,107.87,106.96,106.49,107.04,105.14,103.41,103.81,104.42,104.21,104.29,104.42,103.97,105.42,105.96,106.56,105.11,104.69,105.22,104.34,104.0,101.79,102.37,101.6,102.55,102.43,101.3,100.58,97.11,99.18,100.57,101.09,102.58,98.84,98.4,98.66,99.23,99.48,99.79,98.0,99.88,102.22,103.31,101.31,102.56,102.07,99.76,98.77,97.81,100.55,101.29,95.17,95.47,93.85,91.6,91.08,92.58,95.17,93.21,97.99,100.35,105.17,108.37,108.7,112.39,112.63,113.66,112.0,110.49,110.01,109.84,112.09,110.58,111.4,109.58,108.31,109.09
